polarity;category;term_target;start_end;sentence;cleaned_sentence;parsed_sentence;parsed_sentence_list;Spacy_parsed_list
27;positive;FOOD#QUALITY;french fries;103:115;My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.;husband said could eaten several portion fine even exclaimed french fries best;[(('said', 'VBD'), 'nsubj', ('husband', 'NN')), (('husband', 'NN'), 'nmod:poss', ('My', 'PRP$')), (('said', 'VBD'), 'ccomp', ('eaten', 'VBN')), (('eaten', 'VBN'), 'nsubj', ('he', 'PRP')), (('eaten', 'VBN'), 'aux', ('could', 'MD')), (('eaten', 'VBN'), 'aux', ('ve', 'VB')), (('eaten', 'VBN'), 'dobj', ('more', 'JJR')), (('more', 'JJR'), 'amod', ('several', 'JJ')), (('more', 'JJR'), 'acl:relcl', ('fine', 'JJ')), (('fine', 'JJ'), 'nsubj', ('portion', 'NN')), (('portion', 'NN'), 'det', ('the', 'DT')), (('fine', 'JJ'), 'cop', ('was', 'VBD')), (('fine', 'JJ'), 'nmod', ('me', 'PRP')), (('me', 'PRP'), 'case', ('for', 'IN')), (('me', 'PRP'), 'acl:relcl', ('exclaimed', 'VBD')), (('exclaimed', 'VBD'), 'nsubj', ('he', 'PRP')), (('exclaimed', 'VBD'), 'advmod', ('even', 'RB')), (('exclaimed', 'VBD'), 'ccomp', ('best', 'JJS')), (('best', 'JJS'), 'mark', ('that', 'IN')), (('best', 'JJS'), 'nsubj', ('fries', 'NNS')), (('fries', 'NNS'), 'det', ('the', 'DT')), (('fries', 'NNS'), 'amod', ('french', 'JJ')), (('best', 'JJS'), 'cop', ('were', 'VBD')), (('best', 'JJS'), 'det', ('the', 'DT')), (('best', 'JJS'), 'acl:relcl', ('had', 'VBN')), (('had', 'VBN'), 'nsubj', ('he', 'PRP')), (('had', 'VBN'), 'aux', ('has', 'VBZ'))];french fries fries best the french;french fries fries were the french
28;positive;FOOD#QUALITY;rice dishes;21:32;I also recommend the rice dishes or the different varieties of congee (rice porridge).;also recommend rice dishes different varieties congee rice porridge;[(('recommend', 'VBP'), 'nsubj', ('I', 'PRP')), (('recommend', 'VBP'), 'advmod', ('also', 'RB')), (('recommend', 'VBP'), 'dobj', ('dishes', 'NNS')), (('dishes', 'NNS'), 'det', ('the', 'DT')), (('dishes', 'NNS'), 'compound', ('rice', 'NN')), (('dishes', 'NNS'), 'cc', ('or', 'CC')), (('dishes', 'NNS'), 'conj', ('varieties', 'NNS')), (('varieties', 'NNS'), 'det', ('the', 'DT')), (('varieties', 'NNS'), 'amod', ('different', 'JJ')), (('varieties', 'NNS'), 'nmod', ('porridge', 'NN')), (('porridge', 'NN'), 'case', ('of', 'IN')), (('porridge', 'NN'), 'amod', ('congee', 'JJ')), (('porridge', 'NN'), 'compound', ('rice', 'NN'))];rice dishes porridge dishes recommend the rice or varieties;rice dishes dishes recommend the rice or varieties rice porridge
29;positive;AMBIENCE#GENERAL;ambience;55:63;I highly recommend Cafe St. Bart's for their food, the ambience and wonderful service.;highly recommend cafe st bart food ambience wonderful service;[(('recommend', 'JJ'), 'dep', ('I', 'PRP')), (('recommend', 'JJ'), 'advmod', ('highly', 'RB')), (('recommend', 'JJ'), 'ccomp', ('ambience', 'NN')), (('ambience', 'NN'), 'nsubj', ('Bart', 'NNP')), (('Bart', 'NNP'), 'compound', ('Cafe', 'NNP')), (('Bart', 'NNP'), 'compound', ('St', 'NNP')), (('ambience', 'NN'), 'cop', ('s', 'VBZ')), (('ambience', 'NN'), 'nmod', ('food', 'NN')), (('food', 'NN'), 'case', ('for', 'IN')), (('food', 'NN'), 'nmod:poss', ('their', 'PRP$')), (('ambience', 'NN'), 'det', ('the', 'DT')), (('ambience', 'NN'), 'cc', ('and', 'CC')), (('ambience', 'NN'), 'conj', ('service', 'NN')), (('service', 'NN'), 'amod', ('wonderful', 'JJ'))];ambience recommend bart s food the and service;ambience recommend the and service
30;positive;RESTAURANT#GENERAL;place;27:32;This is by far my favorite place in the neighborhood.;far favorite place neighborhood;[(('place', 'NN'), 'nsubj', ('This', 'DT')), (('place', 'NN'), 'cop', ('is', 'VBZ')), (('place', 'NN'), 'advmod', ('far', 'RB')), (('far', 'RB'), 'case', ('by', 'IN')), (('place', 'NN'), 'nmod:poss', ('my', 'PRP$')), (('place', 'NN'), 'amod', ('favorite', 'JJ')), (('place', 'NN'), 'nmod', ('neighborhood', 'NN')), (('neighborhood', 'NN'), 'case', ('in', 'IN')), (('neighborhood', 'NN'), 'det', ('the', 'DT'))];place this is far my favorite neighborhood;place by my favorite in
31;positive;FOOD#QUALITY;food;80:84;The ambience was so fun, and the prices were great, on top of the fact that the food was really tasty.;ambience fun prices great top fact food really tasty;[(('was', 'VBD'), 'nsubj', ('ambience', 'NN')), (('ambience', 'NN'), 'det', ('The', 'DT')), (('was', 'VBD'), 'advcl', ('great', 'JJ')), (('great', 'JJ'), 'mark', ('so', 'IN')), (('great', 'JJ'), 'nsubj', ('fun', 'NN')), (('fun', 'NN'), 'cc', ('and', 'CC')), (('fun', 'NN'), 'conj', ('prices', 'NNS')), (('prices', 'NNS'), 'det', ('the', 'DT')), (('great', 'JJ'), 'cop', ('were', 'VBD')), (('great', 'JJ'), 'nmod', ('top', 'NN')), (('top', 'NN'), 'case', ('on', 'IN')), (('top', 'NN'), 'nmod', ('fact', 'NN')), (('fact', 'NN'), 'case', ('of', 'IN')), (('fact', 'NN'), 'det', ('the', 'DT')), (('great', 'JJ'), 'ccomp', ('tasty', 'JJ')), (('tasty', 'JJ'), 'mark', ('that', 'IN')), (('tasty', 'JJ'), 'nsubj', ('food', 'NN')), (('food', 'NN'), 'det', ('the', 'DT')), (('tasty', 'JJ'), 'cop', ('was', 'VBD')), (('tasty', 'JJ'), 'advmod', ('really', 'RB'))];food tasty the;food was the
32;negative;SERVICE#GENERAL;waiter;76:82;I was there for brunch recently, and we were tag teamed by a waitress and a waiter.;brunch recently tag teamed waitress waiter;[(('was', 'VBD'), 'nsubj', ('I', 'PRP')), (('was', 'VBD'), 'advmod', ('there', 'RB')), (('there', 'RB'), 'nmod', ('brunch', 'NN')), (('brunch', 'NN'), 'case', ('for', 'IN')), (('was', 'VBD'), 'advmod', ('recently', 'RB')), (('was', 'VBD'), 'cc', ('and', 'CC')), (('was', 'VBD'), 'conj', ('tag', 'NN')), (('tag', 'NN'), 'nsubj', ('we', 'PRP')), (('tag', 'NN'), 'cop', ('were', 'VBD')), (('tag', 'NN'), 'acl:relcl', ('teamed', 'VBD')), (('teamed', 'VBD'), 'nmod', ('waitress', 'NN')), (('waitress', 'NN'), 'case', ('by', 'IN')), (('waitress', 'NN'), 'det', ('a', 'DT')), (('waitress', 'NN'), 'cc', ('and', 'CC')), (('waitress', 'NN'), 'conj', ('waiter', 'NN')), (('waiter', 'NN'), 'det', ('a', 'DT'))];waiter waitress a;waiter waitress a
33;negative;SERVICE#GENERAL;svc;4:7;The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!;svc bit rude times esp big group but overall restaurant must;[(('rude', 'JJ'), 'nsubj', ('svc', 'NN')), (('svc', 'NN'), 'det', ('The', 'DT')), (('rude', 'JJ'), 'aux', ('can', 'MD')), (('rude', 'JJ'), 'cop', ('be', 'VB')), (('rude', 'JJ'), 'nmod:npmod', ('bit', 'RB')), (('bit', 'RB'), 'det', ('a', 'DT')), (('rude', 'JJ'), 'nmod', ('esp', 'NN')), (('esp', 'NN'), 'case', ('at', 'IN')), (('esp', 'NN'), 'compound', ('times', 'NNS')), (('rude', 'JJ'), 'advcl', ('have', 'VBP')), (('have', 'VBP'), 'mark', ('if', 'IN')), (('have', 'VBP'), 'nsubj', ('you', 'PRP')), (('have', 'VBP'), 'dobj', ('group', 'NN')), (('group', 'NN'), 'amod', ('big', 'JJ')), (('have', 'VBP'), 'cc', ('but', 'CC')), (('have', 'VBP'), 'conj', ('a', 'DT')), (('a', 'DT'), 'advmod', ('overall', 'RB')), (('a', 'DT'), 'nsubj', ('restaurant', 'NN')), (('restaurant', 'NN'), 'det', ('the', 'DT')), (('a', 'DT'), 'cop', ('is', 'VBZ')), (('a', 'DT'), 'dep', ('must', 'MD'))];svc rude the;svc be the
34;positive;FOOD#QUALITY;seafood;59:66;Mermaid Inn is an overall good restaurant with really good seafood.;mermaid inn overall good restaurant really good seafood;[(('restaurant', 'NN'), 'nsubj', ('Inn', 'NNP')), (('Inn', 'NNP'), 'compound', ('Mermaid', 'NNP')), (('restaurant', 'NN'), 'cop', ('is', 'VBZ')), (('restaurant', 'NN'), 'det', ('an', 'DT')), (('restaurant', 'NN'), 'amod', ('overall', 'JJ')), (('restaurant', 'NN'), 'amod', ('good', 'JJ')), (('restaurant', 'NN'), 'nmod', ('seafood', 'NN')), (('seafood', 'NN'), 'case', ('with', 'IN')), (('seafood', 'NN'), 'amod', ('good', 'JJ')), (('good', 'JJ'), 'advmod', ('really', 'RB'))];seafood restaurant with good;seafood with good
35;positive;DRINKS#QUALITY;drink;5:10;Good drink.;good drink;[(('drink', 'NN'), 'amod', ('Good', 'JJ'))];drink good;drink drink good
36;negative;FOOD#QUALITY;rolls;102:107;It's boring on the inside, and our sushi was pretty below average... the tuna was soggy and the other rolls had no flavor.;boring inside sushi pretty average tuna soggy rolls no flavor;[(('boring', 'JJ'), 'nsubj', ('It', 'PRP')), (('boring', 'JJ'), 'cop', ('s', 'VBZ')), (('boring', 'JJ'), 'advcl', ('pretty', 'JJ')), (('pretty', 'JJ'), 'mark', ('on', 'IN')), (('pretty', 'JJ'), 'nsubj', ('inside', 'NN')), (('inside', 'NN'), 'det', ('the', 'DT')), (('inside', 'NN'), 'cc', ('and', 'CC')), (('inside', 'NN'), 'conj', ('sushi', 'NN')), (('sushi', 'NN'), 'nmod:poss', ('our', 'PRP$')), (('pretty', 'JJ'), 'cop', ('was', 'VBD')), (('pretty', 'JJ'), 'nmod', ('average', 'NN')), (('average', 'NN'), 'case', ('below', 'IN')), (('average', 'NN'), 'acl:relcl', ('soggy', 'JJ')), (('soggy', 'JJ'), 'nsubj', ('tuna', 'NN')), (('tuna', 'NN'), 'det', ('the', 'DT')), (('soggy', 'JJ'), 'cop', ('was', 'VBD')), (('pretty', 'JJ'), 'cc', ('and', 'CC')), (('pretty', 'JJ'), 'conj', ('had', 'VBD')), (('had', 'VBD'), 'nsubj', ('rolls', 'NNS')), (('rolls', 'NNS'), 'det', ('the', 'DT')), (('rolls', 'NNS'), 'amod', ('other', 'JJ')), (('had', 'VBD'), 'dobj', ('flavor', 'NN')), (('flavor', 'NN'), 'neg', ('no', 'DT'))];rolls had the other;rolls had the other
37;positive;RESTAURANT#GENERAL;place;5:10;This place is worth an one-hour drive.;place worth one hour drive;[(('drive', 'NN'), 'nsubj', ('place', 'NN')), (('place', 'NN'), 'det', ('This', 'DT')), (('drive', 'NN'), 'cop', ('is', 'VBZ')), (('drive', 'NN'), 'case', ('worth', 'IN')), (('drive', 'NN'), 'det', ('an', 'DT')), (('drive', 'NN'), 'nummod', ('one', 'CD')), (('drive', 'NN'), 'compound', ('hour', 'NN'))];place drive this;place is this
38;neutral;SERVICE#GENERAL;wait;80:84;We did arrive late for our reservation so I can not complain too much about the wait for a table.;arrive late reservation not complain much wait table;[(('arrive', 'VB'), 'nsubj', ('We', 'PRP')), (('arrive', 'VB'), 'aux', ('did', 'VBD')), (('arrive', 'VB'), 'advmod', ('late', 'RB')), (('arrive', 'VB'), 'nmod', ('reservation', 'NN')), (('reservation', 'NN'), 'case', ('for', 'IN')), (('reservation', 'NN'), 'nmod:poss', ('our', 'PRP$')), (('arrive', 'VB'), 'advcl', ('complain', 'VB')), (('complain', 'VB'), 'mark', ('so', 'IN')), (('complain', 'VB'), 'nsubj', ('I', 'PRP')), (('complain', 'VB'), 'aux', ('can', 'MD')), (('complain', 'VB'), 'neg', ('not', 'RB')), (('complain', 'VB'), 'advmod', ('much', 'RB')), (('much', 'RB'), 'advmod', ('too', 'RB')), (('complain', 'VB'), 'nmod', ('wait', 'NN')), (('wait', 'NN'), 'case', ('about', 'IN')), (('wait', 'NN'), 'det', ('the', 'DT')), (('wait', 'NN'), 'nmod', ('table', 'NN')), (('table', 'NN'), 'case', ('for', 'IN')), (('table', 'NN'), 'det', ('a', 'DT'))];wait complain about the table;wait about the for
39;positive;RESTAURANT#GENERAL;Indian Restaurant;5:22;Best Indian Restaurant in the City;best indian restaurant city;[(('Best', 'JJS'), 'dep', ('Restaurant', 'NNP')), (('Restaurant', 'NNP'), 'compound', ('Indian', 'NNP')), (('Restaurant', 'NNP'), 'nmod', ('City', 'NNP')), (('City', 'NNP'), 'case', ('in', 'IN')), (('City', 'NNP'), 'det', ('the', 'DT'))];indian restaurant restaurant best indian city;indian restaurant restaurant restaurant best indian in
40;negative;FOOD#QUALITY;dhosas;49:55;I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.;like somosas chai chole but dhosas dhal kinda dissapointing;[(('like', 'VBP'), 'nsubj', ('I', 'PRP')), (('like', 'VBP'), 'ccomp', ('dissapointing', 'NN')), (('dissapointing', 'NN'), 'nsubj', ('chai', 'NN')), (('chai', 'NN'), 'det', ('the', 'DT')), (('chai', 'NN'), 'amod', ('somosas', 'JJ')), (('chai', 'NN'), 'cc', ('and', 'CC')), (('chai', 'NN'), 'conj', ('chole', 'NN')), (('chole', 'NN'), 'det', ('the', 'DT')), (('chole', 'NN'), 'nmod', ('dhosas', 'NNS')), (('dhosas', 'NNS'), 'case', ('but', 'CC')), (('dhosas', 'NNS'), 'det', ('the', 'DT')), (('dhosas', 'NNS'), 'cc', ('and', 'CC')), (('dhosas', 'NNS'), 'conj', ('dhal', 'NN')), (('dissapointing', 'NN'), 'cop', ('were', 'VBD')), (('dissapointing', 'NN'), 'compound', ('kinda', 'NN'))];dhosas chole but the and dhal;dhosas chole the and dhal
41;neutral;FOOD#QUALITY;food;4:8;The food was ok and fair nothing to go crazy.;food ok fair nothing go crazy;[(('nothing', 'NN'), 'nsubj', ('food', 'NN')), (('food', 'NN'), 'det', ('The', 'DT')), (('nothing', 'NN'), 'cop', ('was', 'VBD')), (('nothing', 'NN'), 'amod', ('ok', 'JJ')), (('ok', 'JJ'), 'cc', ('and', 'CC')), (('ok', 'JJ'), 'conj', ('fair', 'JJ')), (('nothing', 'NN'), 'acl', ('go', 'VB')), (('go', 'VB'), 'mark', ('to', 'TO')), (('go', 'VB'), 'xcomp', ('crazy', 'JJ'))];food nothing the;food was the
42;neutral;SERVICE#GENERAL;service;39:46;overpriced japanese food with mediocre service;overpriced japanese food mediocre service;[(('food', 'NN'), 'amod', ('overpriced', 'JJ')), (('food', 'NN'), 'amod', ('japanese', 'JJ')), (('food', 'NN'), 'nmod', ('service', 'NN')), (('service', 'NN'), 'case', ('with', 'IN')), (('service', 'NN'), 'amod', ('mediocre', 'JJ'))];service food with mediocre;service with mediocre
43;positive;RESTAURANT#MISCELLANEOUS;VT's;28:32;I take all my NYC guests to VT's.;take nyc guests vt;[(('take', 'VBP'), 'nsubj', ('I', 'PRP')), (('take', 'VBP'), 'dobj', ('guests', 'NNS')), (('guests', 'NNS'), 'det:predet', ('all', 'PDT')), (('guests', 'NNS'), 'nmod:poss', ('my', 'PRP$')), (('guests', 'NNS'), 'amod', ('NYC', 'JJ')), (('take', 'VBP'), 'advcl', ('VT', 'VB')), (('VT', 'VB'), 'mark', ('to', 'TO')), (('VT', 'VB'), 'dobj', ('s', 'PRP'))];vt take to s 's;vt to
44;negative;FOOD#QUALITY;seabass;59:66;The mussles were the fishiest things I've ever tasted, the seabass was bland, the goat cheese salad was missing the goat cheese, the penne w/ chicken had bones in it... It was disgusting.;mussles fishiest things ever tasted seabass bland goat cheese salad missing goat cheese penne w chicken bones disgusting;[(('things', 'NNS'), 'nsubj', ('mussles', 'NNS')), (('mussles', 'NNS'), 'det', ('The', 'DT')), (('things', 'NNS'), 'cop', ('were', 'VBD')), (('things', 'NNS'), 'det', ('the', 'DT')), (('things', 'NNS'), 'amod', ('fishiest', 'JJ')), (('things', 'NNS'), 'acl:relcl', ('ve', 'VBP')), (('ve', 'VBP'), 'nsubj', ('I', 'PRP')), (('ve', 'VBP'), 'xcomp', ('tasted', 'JJ')), (('tasted', 'JJ'), 'advmod', ('ever', 'RB')), (('tasted', 'JJ'), 'ccomp', ('bland', 'JJ')), (('bland', 'JJ'), 'nsubj', ('seabass', 'NNS')), (('seabass', 'NNS'), 'det', ('the', 'DT')), (('bland', 'JJ'), 'cop', ('was', 'VBD')), (('bland', 'JJ'), 'ccomp', ('missing', 'VBG')), (('missing', 'VBG'), 'nsubj', ('salad', 'NN')), (('salad', 'NN'), 'det', ('the', 'DT')), (('salad', 'NN'), 'compound', ('goat', 'NN')), (('salad', 'NN'), 'compound', ('cheese', 'NN')), (('missing', 'VBG'), 'aux', ('was', 'VBD')), (('missing', 'VBG'), 'dobj', ('cheese', 'NN')), (('cheese', 'NN'), 'det', ('the', 'DT')), (('cheese', 'NN'), 'compound', ('goat', 'NN')), (('cheese', 'NN'), 'acl:relcl', ('had', 'VBD')), (('had', 'VBD'), 'nsubj', ('chicken', 'NN')), (('chicken', 'NN'), 'det', ('the', 'DT')), (('chicken', 'NN'), 'amod', ('penne', 'JJ')), (('chicken', 'NN'), 'compound', ('w', 'NN')), (('had', 'VBD'), 'dobj', ('bones', 'NNS')), (('bones', 'NNS'), 'acl:relcl', ('disgusting', 'JJ')), (('disgusting', 'JJ'), 'nmod', ('it', 'PRP')), (('it', 'PRP'), 'case', ('in', 'IN')), (('disgusting', 'JJ'), 'nsubj', ('It', 'PRP')), (('disgusting', 'JJ'), 'cop', ('was', 'VBD'))];seabass bland the;seabass tasted the
45;positive;DRINKS#QUALITY;wine by the glass;9:26;even the wine by the glass was good.;even wine glass good;[(('good', 'JJ'), 'nsubj', ('wine', 'NN')), (('wine', 'NN'), 'advmod', ('even', 'RB')), (('wine', 'NN'), 'det', ('the', 'DT')), (('wine', 'NN'), 'nmod', ('glass', 'NN')), (('glass', 'NN'), 'case', ('by', 'IN')), (('glass', 'NN'), 'det', ('the', 'DT')), (('good', 'JJ'), 'cop', ('was', 'VBD'))];wine good even the glass by glass the wine glass glass wine by the;the wine wine was even the by by wine glass the glass glass by the
46;negative;RESTAURANT#GENERAL;restaurant;18:28;not sure why this restaurant would be rated that highly.;not sure restaurant would rated highly;[(('sure', 'JJ'), 'neg', ('not', 'RB')), (('sure', 'JJ'), 'ccomp', ('rated', 'VBN')), (('rated', 'VBN'), 'advmod', ('why', 'WRB')), (('rated', 'VBN'), 'nsubjpass', ('restaurant', 'NN')), (('restaurant', 'NN'), 'det', ('this', 'DT')), (('rated', 'VBN'), 'aux', ('would', 'MD')), (('rated', 'VBN'), 'auxpass', ('be', 'VB')), (('rated', 'VBN'), 'xcomp', ('highly', 'RB')), (('highly', 'RB'), 'dep', ('that', 'IN'))];restaurant rated this;restaurant rated this
47;positive;FOOD#QUALITY;food;6:10;Great food, great prices, great service.;great food great prices great service;[(('food', 'NN'), 'amod', ('Great', 'JJ')), (('food', 'NN'), 'dep', ('prices', 'NNS')), (('prices', 'NNS'), 'amod', ('great', 'JJ')), (('food', 'NN'), 'dep', ('service', 'NN')), (('service', 'NN'), 'amod', ('great', 'JJ'))];food great prices service;food prices great
48;positive;FOOD#QUALITY;food;42:46;The portions are small but being that the food was so good makes up for that.;portions small but food good makes;[(('small', 'JJ'), 'nsubj', ('portions', 'NNS')), (('portions', 'NNS'), 'det', ('The', 'DT')), (('small', 'JJ'), 'cop', ('are', 'VBP')), (('small', 'JJ'), 'ccomp', ('makes', 'VBZ')), (('makes', 'VBZ'), 'cc', ('but', 'CC')), (('makes', 'VBZ'), 'csubj', ('being', 'VBG')), (('being', 'VBG'), 'ccomp', ('good', 'JJ')), (('good', 'JJ'), 'mark', ('that', 'IN')), (('good', 'JJ'), 'nsubj', ('food', 'NN')), (('food', 'NN'), 'det', ('the', 'DT')), (('good', 'JJ'), 'cop', ('was', 'VBD')), (('good', 'JJ'), 'advmod', ('so', 'RB')), (('makes', 'VBZ'), 'compound:prt', ('up', 'RP')), (('makes', 'VBZ'), 'nmod', ('that', 'DT')), (('that', 'DT'), 'case', ('for', 'IN'))];food good the;food was the
49;negative;FOOD#QUALITY;Thai;27:31;If you want good authentic Thai this place is not the place to go.;want good authentic thai place not place go;[(('want', 'VBP'), 'mark', ('If', 'IN')), (('want', 'VBP'), 'nsubj', ('you', 'PRP')), (('want', 'VBP'), 'dobj', ('Thai', 'NNS')), (('Thai', 'NNS'), 'amod', ('good', 'JJ')), (('Thai', 'NNS'), 'amod', ('authentic', 'JJ')), (('Thai', 'NNS'), 'acl:relcl', ('place', 'NN')), (('place', 'NN'), 'nsubj', ('place', 'NN')), (('place', 'NN'), 'det', ('this', 'DT')), (('place', 'NN'), 'cop', ('is', 'VBZ')), (('place', 'NN'), 'neg', ('not', 'RB')), (('place', 'NN'), 'det', ('the', 'DT')), (('place', 'NN'), 'acl', ('go', 'VB')), (('go', 'VB'), 'mark', ('to', 'TO'))];thai want good authentic place;thai want authentic
50;positive;FOOD#QUALITY;food;4:8;The food tasted very good.;food tasted good;[(('tasted', 'VBD'), 'nsubj', ('food', 'NN')), (('food', 'NN'), 'det', ('The', 'DT')), (('tasted', 'VBD'), 'xcomp', ('good', 'JJ')), (('good', 'JJ'), 'advmod', ('very', 'RB'))];food tasted the;food tasted the
51;negative;SERVICE#GENERAL;customer service;49:65;I was here a few weeks back and we had the worst customer service experience at a restaurant ever.;weeks back worst customer service experience restaurant ever;[(('was', 'VBD'), 'nsubj', ('I', 'PRP')), (('was', 'VBD'), 'advmod', ('back', 'RB')), (('back', 'RB'), 'nmod:npmod', ('weeks', 'NNS')), (('weeks', 'NNS'), 'advmod', ('here', 'RB')), (('weeks', 'NNS'), 'det', ('a', 'DT')), (('weeks', 'NNS'), 'amod', ('few', 'JJ')), (('was', 'VBD'), 'cc', ('and', 'CC')), (('was', 'VBD'), 'conj', ('had', 'VBD')), (('had', 'VBD'), 'nsubj', ('we', 'PRP')), (('had', 'VBD'), 'dobj', ('experience', 'NN')), (('experience', 'NN'), 'det', ('the', 'DT')), (('experience', 'NN'), 'amod', ('worst', 'JJS')), (('experience', 'NN'), 'compound', ('customer', 'NN')), (('experience', 'NN'), 'compound', ('service', 'NN')), (('experience', 'NN'), 'nmod', ('restaurant', 'NN')), (('restaurant', 'NN'), 'case', ('at', 'IN')), (('restaurant', 'NN'), 'det', ('a', 'DT')), (('had', 'VBD'), 'advmod', ('ever', 'RB'))];customer experience service experience;customer service service experience customer
52;negative;RESTAURANT#GENERAL;place;12:17;Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance, but in this unattractive room with unhelpful clerks there was a dearth of the former too.;calling place hampton chutney co warn folks offer style substance but unattractive room unhelpful clerks dearth former;[(('Calling', 'VBG'), 'dobj', ('place', 'NN')), (('place', 'NN'), 'det', ('the', 'DT')), (('place', 'NN'), 'acl:relcl', ('warn', 'VB')), (('warn', 'VB'), 'nsubj', ('Co', 'NNP')), (('Co', 'NNP'), 'compound', ('Hampton', 'NNP')), (('Co', 'NNP'), 'compound', ('Chutney', 'NNP')), (('warn', 'VB'), 'aux', ('does', 'VBZ')), (('warn', 'VB'), 'dobj', ('you', 'PRP')), (('warn', 'VB'), 'ccomp', ('offer', 'VBP')), (('offer', 'VBP'), 'mark', ('that', 'IN')), (('offer', 'VBP'), 'nsubj', ('folks', 'NNS')), (('folks', 'NNS'), 'det', ('these', 'DT')), (('offer', 'VBP'), 'dobj', ('style', 'NN')), (('style', 'NN'), 'amod', ('more', 'JJR')), (('offer', 'VBP'), 'nmod', ('substance', 'NN')), (('substance', 'NN'), 'case', ('than', 'IN')), (('offer', 'VBP'), 'cc', ('but', 'CC')), (('offer', 'VBP'), 'conj', ('was', 'VBD')), (('was', 'VBD'), 'nmod', ('room', 'NN')), (('room', 'NN'), 'case', ('in', 'IN')), (('room', 'NN'), 'det', ('this', 'DT')), (('room', 'NN'), 'amod', ('unattractive', 'JJ')), (('room', 'NN'), 'nmod', ('clerks', 'NNS')), (('clerks', 'NNS'), 'case', ('with', 'IN')), (('clerks', 'NNS'), 'amod', ('unhelpful', 'JJ')), (('was', 'VBD'), 'expl', ('there', 'EX')), (('was', 'VBD'), 'nsubj', ('dearth', 'NN')), (('dearth', 'NN'), 'det', ('a', 'DT')), (('dearth', 'NN'), 'nmod', ('former', 'JJ')), (('former', 'JJ'), 'case', ('of', 'IN')), (('former', 'JJ'), 'det', ('the', 'DT')), (('was', 'VBD'), 'advmod', ('too', 'RB'))];place calling the warn;place calling the
